FIPS2,Percent_High_school_completion,Percent_Children_in_poverty,Percent_Kids_in_Single_Parent_Houses,Reading _scores,Math_scores
F08111,95.84,17,12.61,,
F08113,96.89,7.9,17.04,3.65,3.31
F08115,89.37,22.1,22.66,,
F08117,93.24,6.4,14.32,3.12,2.96
F08119,96.72,11.7,16.09,3.02,2.84
F08121,92.24,17.6,21.4,2.95,2.99
F08123,87.4,9.8,19.93,3,2.96
F08125,86.36,16.1,24.18,3.24,3.13
F09001,90.22,10.8,20.61,3.29,3.14
F09003,90,13.6,28.2,3.09,2.95
F09005,93.82,8.2,20.08,3.35,3.21
F09007,94.71,6.5,22.33,3.34,3.17
F09009,90.34,13.9,30.57,3.05,2.91
F09011,92.8,10.9,25.82,3.27,3.16
F09013,94.75,5.6,17.87,3.35,3.17
F09015,89.14,12.5,29.06,3.09,2.92
F10001,87.97,16.4,34.4,3.29,3.17
F10003,92.14,13.9,28.18,2.93,2.83
F10005,89.02,17.4,27.06,3.09,3.11
F11001,91.87,22.3,46.6,2.92,2.83
F12001,92.79,15.1,31.55,3.25,3.25
F12003,84.92,17.3,21.87,3.47,3.54
F12005,90.94,20,28.41,3.2,3.35
F12007,78.94,22,34.16,3.06,3.26
F12009,92.18,13.5,24.44,3.35,3.29
F12011,89.39,14.1,31.92,3.25,3.31
F12013,77.91,28.7,25.27,3.31,3.58
F12015,90.82,15.8,26.85,3.37,3.46
F12017,89.46,23.1,30.51,3.33,3.35
F12019,92.08,12.9,20.05,3.43,3.49
F12021,88.22,14.9,25.85,3.25,3.39
F12023,84.98,22.8,24.9,3.2,3.34
F12027,74.42,27.6,29.65,2.62,2.69
F12029,79.62,31.1,25.18,3.31,3.27
F12031,90.07,21.1,33.86,3.06,3.26
F12033,90.36,20.4,32.42,3.11,3.09
F12035,91.51,16.3,26.25,3.33,3.44
F12037,81.09,30.8,24.61,2.96,2.93
F12039,81.43,34.9,47.45,2.85,3.18
F12041,86.61,22.5,28.53,3.3,3.59
F12043,71.92,23.5,21.44,3.15,3.4
F12045,85.42,25.2,25.24,3.04,3.17
F12047,75.23,34.5,20.46,2.86,3.18
F12049,76.19,28,28.64,3.21,3.36
F12051,69.08,31.4,36.22,2.94,2.98
F12053,88.37,20.1,21.51,3.28,3.39
F12055,85.35,26.6,28.22,3.01,3.24
F12057,88.89,14.3,29.63,3.12,3.13
F12059,80.31,30.9,30.84,3.17,3.13
F12061,90.09,16,24.85,3.21,3.26
F12063,82.19,29.5,26.53,3.33,3.44
F12065,82.6,26.4,35.05,2.81,2.95
F12067,73.16,27.7,7.84,3.29,3.47
F12069,89.98,14,23.11,3.25,3.35
F12071,89.25,14.7,26.07,3.18,3.2
F12073,93.39,22,34.82,3.34,3.36
F12075,86.25,27.2,23.87,2.95,3.12
F12077,79.56,24.7,27.61,3.37,3.5
F12079,79.86,30.1,44.85,3.09,3.24
F12081,89.42,16.2,26,3.05,3.15
F12083,87.99,21.7,33.66,2.9,2.91
F12085,91.43,17.3,24.06,3.19,3.31
F12086,81.84,19.9,31.4,3.31,3.4
F12087,91.89,15.3,23.28,3.31,3.29
F12089,91.15,11.6,22.6,3.57,3.63
F12091,92.56,14.2,22.23,3.43,3.52
F12093,79.75,24.7,25.11,3.13,3.33
F12095,88.68,16.7,27.39,3.15,3.3
F12097,86.14,17.6,26.22,3.06,3.04
F12099,88.77,16.2,26.1,3.17,3.36
F12101,89.9,16.3,24.18,3.22,3.21
F12103,91.62,15.8,31.25,3.11,3.28
F12105,85.44,22.2,27.64,3.09,3.16
F12107,82.59,33,33.26,2.86,2.97
F12109,94.78,9.3,15.49,3.7,3.75
F12111,87.26,21.2,26.81,3,3.12
F12113,91.5,11.8,19.51,3.39,3.47
F12115,93.24,13.8,25.44,3.46,3.53
F12117,94.45,10.4,21.42,3.38,3.45
F12119,92.22,34.8,29.88,3.43,3.36
F12121,82.46,28.3,34.03,3.2,3.28
F12123,81.11,25.8,35.32,3.15,3.34
F12125,76.33,20.3,25.34,3.43,3.53
F12127,90.79,14,28.91,3.18,3.21
F12129,87.85,15.7,15.13,3.33,3.34
F12131,89.31,18,25.75,3.38,3.42
F12133,82.11,28.7,38.91,3.37,3.5
F13001,77.24,29.9,34.42,2.8,2.81
F13003,67.72,33.8,34.16,3.05,3.05
F13005,82.4,29,34.67,2.79,2.71
F13007,83.2,39.5,31.81,2.45,2.28
