FIPS,Percent_High_school_completion,Percent_Children_in_poverty,Percent_Kids_in_Single_Parent_Houses,Reading _scores,Math_scores
06011,72.83,12.9,19.02,2.792946675,2.633056216
06013,89.9,7.9,18.86,2.983580883,2.840646065
06015,79.72,23.4,29.49,2.461057535,2.154773244
06017,94.03,8.8,14.74,3.075291219,2.875828658
06019,77.28,23.1,27.28,2.865603231,2.716984117
06021,74.49,17.2,20.95,2.484883714,2.256390449
06023,90.61,18.8,24.59,2.761261517,2.555613493
06025,70.19,24.9,31.15,2.626692977,2.486429675
06027,90.52,14.6,25.52,,2.649221781
06029,75.34,24.6,25.26,2.674792797,2.449810036
06031,73.97,17.8,23.77,2.729839456,2.519242106
06033,86.22,22.2,26.65,2.558923544,2.313450755
06035,80.52,15.7,24.44,2.646993525,2.517565657
06037,79.8,17.2,25.33,2.903033417,2.74335872
06039,71.96,18.8,21.04,2.611821459,2.444961685
06041,93.63,5.8,18.08,3.304376358,3.166285731
06043,90.94,18.5,39.04,2.804805702,2.53544899
06045,86.67,18.9,29.43,2.475187327,2.370012146
06047,69.74,22.8,27.02,2.675983771,2.46297682
06049,84.67,28.1,24.96,2.616484834,2.354169193
06051,88.15,9.6,12.1,2.537874285,2.283151162
06053,73,15,18.84,2.547813625,2.420091482
06055,85.55,8.7,20.47,2.787234226,2.66106926
06057,94.58,11,19.43,2.977734607,2.804696127
06059,86.04,10.3,17.9,3.098798989,2.982585308
06061,95.08,6.2,14.22,3.231680466,3.061742309
06063,94.7,18.3,30.46,2.731330603,2.611946045
06065,82.76,14.5,21.58,2.854718527,2.660877171
06067,87.94,16.8,25.33,2.816695552,2.653576835
06069,81.92,9.3,19.38,2.945999103,2.69517086
06071,80.7,19.7,26.29,2.769315074,2.558269655
06073,88.05,11,21.1,3.086290833,2.930545158
06075,88.55,9.4,21.44,3.014964547,2.97437134
06077,80.11,17.4,22.26,2.649964424,2.495588017
06079,91.85,9.2,18.14,3.054314624,2.908190467
06081,90.43,5.6,15.97,3.204949859,3.168701726
06083,81.84,12.6,23.5,2.724552313,2.578195598
06085,88.74,6.5,16.06,3.242525267,3.23576742
06087,88.28,10.6,21.66,2.728576905,2.621941286
06089,91.14,18.3,22.25,2.985156432,2.76088453
06091,92.53,13.5,46.4,2.74086402,2.667814929
06093,89.9,20.2,23.41,2.74286095,2.566561338
06095,88.67,10.8,25.93,2.758440382,2.5761869
06097,89.13,8.6,20.52,2.971439214,2.756443069
06099,79.75,17.1,22.32,2.696782368,2.513749293
06101,79.83,16.2,24.08,2.766643056,2.528529305
06103,85.87,17.2,23.91,2.623942785,2.475853203
06105,93.03,26.4,41.47,2.796335683,2.50596446
06107,71.94,23,25.99,2.659397716,2.509049881
06109,91,13.4,22.79,2.809137998,2.662556302
06111,85.65,11.7,18.22,2.80777066,2.647797976
06113,87.47,11.3,20.51,2.903701358,2.665875811
06115,82.17,19.2,21.61,2.693549939,2.617696474
